code	url	creator	created_t	last_modified_t	product_name	generic_name	quantity	packaging	packaging_tags	brands	brands_tags	categories	categories_tags	origins	origins_tags	manufacturing_places	manufacturing_places_tags	labels	labels_tags	emb_codes	emb_codes_tags	cities	cities_tags	purchase_places	stores	countries	ingredients_text	allergens	allergens_tags	traces	traces_tags	serving_size	serving_quantity	no_nutriments	additives_n	additives_tags	ingredients_from_palm_oil_n	ingredients_from_palm_oil	ingredients_from_palm_oil_tags	ingredients_that_may_be_from_palm_oil_n	ingredients_that_may_be_from_palm_oil	ingredients_that_may_be_from_palm_oil_tags	nutriscore_score	nutriscore_grade	nova_group	pnns_groups_1	pnns_groups_2	states	brand_owner	main_category	image_url	image_small_url	image_front_url	image_front_small_url	image_ingredients_url	image_ingredients_small_url	image_nutrition_url	image_nutrition_small_url	energy-kj_100g	energy-kcal_100g	energy_100g	energy-from-fat_100g	fat_100g	saturated-fat_100g	-butyric-acid_100g	-caproic-acid_100g	-caprylic-acid_100g	-capric-acid_100g	-lauric-acid_100g	-myristic-acid_100g	-palmitic-acid_100g	-stearic-acid_100g	-arachidic-acid_100g	-behenic-acid_100g	-lignoceric-acid_100g	-cerotic-acid_100g	-montanic-acid_100g	-melissic-acid_100g	monounsaturated-fat_100g	polyunsaturated-fat_100g	omega-3-fat_100g	-alpha-linolenic-acid_100g	-eicosapentaenoic-acid_100g	-docosahexaenoic-acid_100g	omega-6-fat_100g	-linoleic-acid_100g	-arachidonic-acid_100g	-gamma-linolenic-acid_100g	-dihomo-gamma-linolenic-acid_100g	omega-9-fat_100g	-oleic-acid_100g	-elaidic-acid_100g	-gondoic-acid_100g	-mead-acid_100g	-erucic-acid_100g	-nervonic-acid_100g	trans-fat_100g	cholesterol_100g	carbohydrates_100g	sugars_100g	-sucrose_100g	-glucose_100g	-fructose_100g	-lactose_100g	-maltose_100g	-maltodextrins_100g	starch_100g	polyols_100g	fiber_100g	-soluble-fiber_100g	-insoluble-fiber_100g	proteins_100g	casein_100g	serum-proteins_100g	nucleotides_100g	salt_100g	sodium_100g	alcohol_100g	vitamin-a_100g	beta-carotene_100g	vitamin-d_100g	vitamin-e_100g	vitamin-k_100g	vitamin-c_100g	vitamin-b1_100g	vitamin-b2_100g	vitamin-pp_100g	vitamin-b6_100g	vitamin-b9_100g	folates_100g	vitamin-b12_100g	biotin_100g	pantothenic-acid_100g	silica_100g	bicarbonate_100g	potassium_100g	chloride_100g	calcium_100g	phosphorus_100g	iron_100g	magnesium_100g	zinc_100g	copper_100g	manganese_100g	fluoride_100g	selenium_100g	chromium_100g	molybdenum_100g	iodine_100g	caffeine_100g	taurine_100g	ph_100g	fruits-vegetables-nuts_100g	fruits-vegetables-nuts-dried_100g	fruits-vegetables-nuts-estimate_100g	collagen-meat-protein-ratio_100g	cocoa_100g	chlorophyl_100g	carbon-footprint_100g	carbon-footprint-from-meat-or-fish_100g	nutrition-score-fr_100g	nutrition-score-uk_100g	glycemic-index_100g	water-hardness_100g	choline_100g	phylloquinone_100g	beta-glucan_100g	inositol_100g	carnitine_100g
3017760000406	https://de.openfoodfacts.org/produkt/3017760000406	openfoodfacts-contributors	1368211960	1591200706	Beurré Nantais	Biscuits sablés	"130 g ℮, 20 biscuits"	"fr:Carton,fr:Point vert,fr:Pensez au tri!,fr:Barquette et film plastique à jeter,fr:Étui carton à recycler,Plastique,Carton"	fr-carton,fr-point-vert,fr-pensez-au-tri,fr-barquette-et-film-plastique-a-jeter,fr-etui-carton-a-recycler,plastique,carton	LU	lu	Snacks,Snacks sucrés,Biscuits et gâteaux,Biscuits	en:snacks,en:sweet-snacks,en:biscuits-and-cakes,en:biscuits	France	france	Aisne,France	aisne,france	Charte LU Harmony, Green Dot, Pure butter, fr:Blé français, en:no-preservatives	en:charte-lu-harmony,en:green-dot,en:no-preservatives,en:pure-butter,fr:ble-francais					France,Nantes	Carrefour,Magasins U	France,Allemagne,Suisse,en:france	"Farine de blé 63 %, sucre, beurre 19 %, poudre à lever (phosphates de calcium, carbonates d'ammonium, carbonates de sodium), sel, lait entier en poudre."	en:gluten,en:milk	en:gluten,en:milk	en:eggs	en:eggs	6g	6		3	en:e341,en:e500,en:e503	0			0			24	e	3	Sugary snacks	Biscuits and cakes	en:checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded		en:biscuits	https://static.openfoodfacts.org/images/products/301/776/000/0406/front_fr.69.400.jpg	https://static.openfoodfacts.org/images/products/301/776/000/0406/front_fr.69.200.jpg	https://static.openfoodfacts.org/images/products/301/776/000/0406/front_fr.69.400.jpg	https://static.openfoodfacts.org/images/products/301/776/000/0406/front_fr.69.200.jpg	https://static.openfoodfacts.org/images/products/301/776/000/0406/ingredients_fr.72.400.jpg	https://static.openfoodfacts.org/images/products/301/776/000/0406/ingredients_fr.72.200.jpg	https://static.openfoodfacts.org/images/products/301/776/000/0406/nutrition_fr.75.400.jpg	https://static.openfoodfacts.org/images/products/301/776/000/0406/nutrition_fr.75.200.jpg	1956		1956		17	11																																			70	26									2.7			7				1.39	0.556																																												24								
3046920028363	https://de.openfoodfacts.org/produkt/3046920028363	javichu	1342037422	1593338260	Excellence dark 85% cocoa	Tableta de chocolate negro con un 85%  de cacao mínimo	100 g	Papel de aluminio,Caja de cartón,PAP,Green Dot,Produkt,Green-dot,fr:Tidyman wastebasket	papel-de-aluminio,caja-de-carton,pap,green-dot,produkt,green-dot,fr-tidyman-wastebasket	Lindt	lindt	Snacks,Sweet snacks,Chocolates,Dark chocolates	en:snacks,en:sweet-snacks,en:chocolates,en:dark-chocolates			Lindt & Sprüngli SAS,Chocoladefabriken Lindt & Sprüngli AG,Oloron-Sainte-Marie,Oloron-Sainte-Marie (arrondissement),Pyrénées-Atlantiques,Aquitaine,France,Deutschland	lindt-sprungli-sas,chocoladefabriken-lindt-sprungli-ag,oloron-sainte-marie,oloron-sainte-marie-arrondissement,pyrenees-atlantiques,aquitaine,france,deutschland	"EAC, Pure cocoa butter, ru:Добровольная сертификация РСТ, fr:lindt-sprungil-cocoa-farming-program, en:gost"	"en:eac,en:gost,en:pure-cocoa-butter,ru:добровольная-сертификация-рст,fr:lindt-sprungil-cocoa-farming-program"					"Madrid,España,Liverpool,United Kingdom,Stuttgart,Deutschland,France,Budapest,Magyarország,Москва,РФ"	"Carrefour,Asda,Irma.dk,Kaufland,Оливье,Leclerc,Intermarché,Delhaize"	Andorra,Belgium,Denmark,France,Germany,Hungary,Italy,Morocco,Netherlands,Portugal,Romania,Russia,Spain,Switzerland,United Kingdom	cocoa mass, fat-reduced cocoa, cocoa butter, demerara sugar, natural bourbon vanilla beans			en:gluten,en:milk,en:nuts,en:sesame-seeds,en:soybeans	en:gluten,en:milk,en:nuts,en:sesame-seeds,en:soybeans	25g	25		0		0			0			14	d		Sugary snacks	Chocolate products	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded		en:dark-chocolates	https://static.openfoodfacts.org/images/products/304/692/002/8363/front_de.44.400.jpg	https://static.openfoodfacts.org/images/products/304/692/002/8363/front_de.44.200.jpg	https://static.openfoodfacts.org/images/products/304/692/002/8363/front_de.44.400.jpg	https://static.openfoodfacts.org/images/products/304/692/002/8363/front_de.44.200.jpg	https://static.openfoodfacts.org/images/products/304/692/002/8363/ingredients_de.45.400.jpg	https://static.openfoodfacts.org/images/products/304/692/002/8363/ingredients_de.45.200.jpg	https://static.openfoodfacts.org/images/products/304/692/002/8363/nutrition_de.46.400.jpg	https://static.openfoodfacts.org/images/products/304/692/002/8363/nutrition_de.46.200.jpg	2410		2410		44	28																																	0		19.2	11.2									16.4			12.4				0.0254	0.0102																																								85				14								
0076840600021	https://de.openfoodfacts.org/produkt/0076840600021	jeanbono	1404048175	1584220428	Ben & Jerry's Glace Cookie Dough Vanille 500 ml	Crème glacée vanille avec des morceaux de pâte de cookie aux pépites de chocolat (16%) et des inclusions cacaotées (1%).	425 g	Carton,Green dot	carton,green-dot	Ben & Jerry's	ben-jerry-s	Desserts, Surgelés, Desserts glacés, Glaces et sorbets, Glaces, Crèmes glacées en pot	en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams,en:ice-cream-tubs			Niederlande	niederlande	Vegetarian, Fair trade, Fairtrade International, Green Dot, Palm oil free, Pure cocoa butter, Caring-dairy, Kosher-dairy, fr:FAIR_TRADE_USA , en:halal	en:vegetarian,en:fair-trade,en:fairtrade-international,en:green-dot,en:halal,en:palm-oil-free,en:pure-cocoa-butter,fr:caring-dairy,fr:fair-trade-usa,fr:kosher-dairy					Rouen,France	Hyper U,Delhaize	Autriche,Belgique,France,Allemagne,Pays-Bas,Suisse	"CRÈME (27%), eau, LAIT concentré écrémé, sucre, farine de BLÉ, sucre roux, jaune d'ŒUF¹, BEURRE, huiles végétales (soja, coco), ŒUF, pâte de cacao, cacao maigre en poudre, mélasse, extrait de vanille, stabilisants (gomme guar, carraghénanes), beurre de cacao, arôme naturel de BEURRE, sel, arôme naturel de vanille, émulsifiant (lécithine de SOJA).¹œufs de poules élevées en plein air. Ingrédients conformes aux standards du commerce équitable Fairtrade : sucre, cacao, vanille (21% du poids total)F."	en:eggs,en:gluten,en:milk,en:soybeans	en:eggs,en:gluten,en:milk,en:soybeans			100ml	100		3	en:e322,en:e322i,en:e407,en:e412	0			0			13	d	4	Milk and dairy products	Ice cream	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded		en:ice-cream-tubs	https://static.openfoodfacts.org/images/products/007/684/060/0021/front_de.100.400.jpg	https://static.openfoodfacts.org/images/products/007/684/060/0021/front_de.100.200.jpg	https://static.openfoodfacts.org/images/products/007/684/060/0021/front_de.100.400.jpg	https://static.openfoodfacts.org/images/products/007/684/060/0021/front_de.100.200.jpg	https://static.openfoodfacts.org/images/products/007/684/060/0021/ingredients_de.140.400.jpg	https://static.openfoodfacts.org/images/products/007/684/060/0021/ingredients_de.140.200.jpg	https://static.openfoodfacts.org/images/products/007/684/060/0021/nutrition_de.102.400.jpg	https://static.openfoodfacts.org/images/products/007/684/060/0021/nutrition_de.102.200.jpg	970	230	970		13	8																																			26	21												3.5				0.14	0.056																																												13								
8711200590810	https://de.openfoodfacts.org/produkt/8711200590810	openfoodfacts-contributors	1437858757	1594288189	Ben & Jerry's Glace Pot Peanut Butter Cup Cacahuète	Crème glacée au beurre de cacahuète avec des morceaux de pâte au beurre de cacahuète cacaotés (20%).	500 ml (431 g)	Pot en carton,Bandeau de fermeture en plastique,cardboard,plastic,Surgelé, container, pot	pot-en-carton,bandeau-de-fermeture-en-plastique,cardboard,plastic,surgele,container,pot	Ben & Jerry's,Unilever	ben-jerry-s,unilever	Desserts, Surgelés, Desserts glacés, Glaces et sorbets, Glaces, Crèmes glacées en pot, Glace Pot	en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams,en:ice-cream-tubs,fr:glace-pot					Commerce équitable, Fairtrade International, Point Vert, Kosher dairy         	en:fair-trade,en:fairtrade-international,en:green-dot,fr:kosher-dairy					Veynes,05400,Paris,Münster,France	Super U,Franprix,Edeka,Carrefour, Magasins U	France, Allemagne, Suisse	"eau, CRÈME (20%), sucre, LAIT concentré écrémé, cacahuète (9%) (ARACHIDES), huiles végétales (huile de coco, huile de colza, huile de SOJA), jaune d'ŒUF¹, farine d'ARACHIDE, cacao maigre en poudre, LAIT en poudre écrémé, LAIT en poudre entier, sel, émulsifiant (lécithine de SOJA), arôme naturel de vanille, stabilisants (gomme guar, carraghénanes). Peut contenir : gluten. Ingrédients conformes aux standards du commerce équitable Fairtrade : sucre, cacao et vanille (19% du poids total)F. ¹œufs de poules élevées en plein air."	en:eggs,en:milk,en:peanuts,en:soybeans	en:eggs,en:milk,en:peanuts,en:soybeans	en:gluten	en:gluten	100 g	100		3	en:e322,en:e322i,en:e407,en:e412	0			1		huile-vegetale	19	e	4	Milk and dairy products	Ice cream	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded		fr:glace-pot	https://static.openfoodfacts.org/images/products/871/120/059/0810/front_de.42.400.jpg	https://static.openfoodfacts.org/images/products/871/120/059/0810/front_de.42.200.jpg	https://static.openfoodfacts.org/images/products/871/120/059/0810/front_de.42.400.jpg	https://static.openfoodfacts.org/images/products/871/120/059/0810/front_de.42.200.jpg	https://static.openfoodfacts.org/images/products/871/120/059/0810/ingredients_de.76.400.jpg	https://static.openfoodfacts.org/images/products/871/120/059/0810/ingredients_de.76.200.jpg	https://static.openfoodfacts.org/images/products/871/120/059/0810/nutrition_de.44.400.jpg	https://static.openfoodfacts.org/images/products/871/120/059/0810/nutrition_de.44.200.jpg	1300	320	1300		21	12																																			25	24												7				0.43	0.172																																												19								
3412290016185	https://de.openfoodfacts.org/produkt/3412290016185	openfoodfacts-contributors	1463113468	1585834387	Beurre Aux Cristaux de Sel de Guérande		250 g	Feuille,Papier	feuille,papier	Paysan breton	paysan-breton	Milchprodukte,Brotaufstriche,Fette,Streichfette (Milch- und Nichtmilcherzeugnisse),Tierische Fette,Milchfette,Milchstreichfett,Butter,Leicht gesalzene Butter	en:dairies,en:spreads,en:fats,en:spreadable-fats,en:animal-fats,en:milkfat,en:dairy-spread,en:butters,en:half-salted-butter			France	france	Hergestellt in Frankreich	en:made-in-france	FR 29.156.090 EC	fr-29-156-090-ec		pencran-finistere-france		Magasins U	Frankreich,Deutschland	Beurre (crème pasteurisée, lactiques), sel de Guérande		en:milk						1	en:e270	0			0			29	e	2	Fat and sauces	Fats	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded		en:half-salted-butter	https://static.openfoodfacts.org/images/products/341/229/001/6185/front_fr.8.400.jpg	https://static.openfoodfacts.org/images/products/341/229/001/6185/front_fr.8.200.jpg	https://static.openfoodfacts.org/images/products/341/229/001/6185/front_fr.8.400.jpg	https://static.openfoodfacts.org/images/products/341/229/001/6185/front_fr.8.200.jpg	https://static.openfoodfacts.org/images/products/341/229/001/6185/ingredients_de.37.400.jpg	https://static.openfoodfacts.org/images/products/341/229/001/6185/ingredients_de.37.200.jpg				725	3033		80	57																																			0.7	0.7									0			0.8				2.6	1.04																																												29								
20150624	https://de.openfoodfacts.org/produkt/20150624	openfoodfacts-contributors	1427111582	1593938728	Crunchy Pernaut butter		"454 g ℮"	fr:Bocal,fr:Verre,70 GL,fr:Point vert,fr:Bocal verre,Bocal,05-PP,fr:40 FE	fr-bocal,fr-verre,70-gl,fr-point-vert,fr-bocal-verre,bocal,05-pp,fr-40-fe	McEnnedy	mcennedy	Plant-based foods and beverages, Plant-based foods, Legumes and their products, Breakfasts, Spreads, Nuts and their products, Plant-based spreads, Sweet spreads, Oilseed purees, Nut butters, Legume butters, Peanut butters	en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:breakfasts,en:spreads,en:nuts-and-their-products,en:plant-based-spreads,en:sweet-spreads,en:oilseed-purees,en:nut-butters,en:legume-butters,en:peanut-butters			Royaume-Uni	royaume-uni	en:Verified	en:verified					Hénin-Beaumont,France	LIDL	Frankreich,Deutschland,Schweiz	95 % roasted peanuts, brown cane sugar, palm oil, sea salt,	en:peanuts	en:peanuts	en:nuts	en:nuts				0		0			0			9	c	3	Sugary snacks	Sweets	en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:photos-uploaded		en:peanut-butters	https://static.openfoodfacts.org/images/products/20150624/front_en.152.400.jpg	https://static.openfoodfacts.org/images/products/20150624/front_en.152.200.jpg	https://static.openfoodfacts.org/images/products/20150624/front_en.152.400.jpg	https://static.openfoodfacts.org/images/products/20150624/front_en.152.200.jpg	https://static.openfoodfacts.org/images/products/20150624/ingredients_de.117.400.jpg	https://static.openfoodfacts.org/images/products/20150624/ingredients_de.117.200.jpg	https://static.openfoodfacts.org/images/products/20150624/nutrition_en.133.400.jpg	https://static.openfoodfacts.org/images/products/20150624/nutrition_en.133.200.jpg		618	2586		50.4	6.6																																			12.3	6.7									11.8			25.3				0	0																																												9								
7610128737127	https://de.openfoodfacts.org/produkt/7610128737127	openfoodfacts-contributors	1409264868	1590498891	Le Beurre de la Crème Pasteurisée.	Beurre pasteurisé.	250g	Papier aluminium,Frais	papier-aluminium,frais	Le Beurre,Cremo,Mopro,Molkerei	le-beurre,cremo,mopro,molkerei	"Milchprodukte,Brotaufstriche,Fette,Streichfette (Milch- und Nichtmilcherzeugnisse),Tierische Fette,Milchfette,Gekühlte Nahrungsmittel,Milchstreichfett,Butter,Pasteurizierte Butter,Süßrahmbutter"	en:dairies,en:spreads,en:fats,en:spreadable-fats,en:animal-fats,en:milkfat,en:dairy-spread,en:refrigerated-foods,en:butters,en:pasteurized-butters,en:sweet-cream-butters	Suisse	suisse	Cremo S.A. Produits Laitiers Route de Moncor 6 1752 Villars-sur-Glâne FR Suisse,Mittelland Molkerei AG (Emmi) Obertelweg 2 5034 Suhr AG Suisse,Suisse	cremo-s-a-produits-laitiers-route-de-moncor-6-1752-villars-sur-glane-fr-suisse,mittelland-molkerei-ag-emmi-obertelweg-2-5034-suhr-ag-suisse,suisse	Hergestellt in der Schweiz,Suisse Garantie,en:Verified	en:made-in-swiss,en:suisse-garantie,en:verified	CH-2409,CH-2411	ch-2409,ch-2411			Etoy,Signy,Svizzera	Migros,Coop	Frankreich,Deutschland,Schweiz	"_Beurre_ (à base de _crème_ pasteurisée Suisse),"	en:milk	en:milk			10g	10		0		0			0			18	d	2	Fat and sauces	Fats	en:checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded		en:sweet-cream-butters	https://static.openfoodfacts.org/images/products/761/012/873/7127/front_fr.23.400.jpg	https://static.openfoodfacts.org/images/products/761/012/873/7127/front_fr.23.200.jpg	https://static.openfoodfacts.org/images/products/761/012/873/7127/front_fr.23.400.jpg	https://static.openfoodfacts.org/images/products/761/012/873/7127/front_fr.23.200.jpg	https://static.openfoodfacts.org/images/products/761/012/873/7127/ingredients_fr.34.400.jpg	https://static.openfoodfacts.org/images/products/761/012/873/7127/ingredients_fr.34.200.jpg	https://static.openfoodfacts.org/images/products/761/012/873/7127/nutrition_fr.16.400.jpg	https://static.openfoodfacts.org/images/products/761/012/873/7127/nutrition_fr.16.200.jpg	3050	742	3050		82	49.2																																			0.5	0.5												0.5				0.1	0.04																																												18								
3228021000084	https://de.openfoodfacts.org/produkt/3228021000084	openfoodfacts-contributors	1357036559	1588346284	Meer salz butter		250 g	Boite Plastique,Motte,Becher,ravier,Produkt	boite-plastique,motte,becher,ravier,produkt	Président	president	Pflanzliche Lebensmittel und Getränke, Pflanzliche Lebensmittel, Milchprodukte, Brotaufstriche, Fette, Pflanzliche Brotaufstriche, Tierische Fette, Streichfette (Milch- und Nichtmilcherzeugnisse), Milchfette, Streichfette, Butter, Leicht gesalzene Butter	en:plant-based-foods-and-beverages,en:plant-based-foods,en:dairies,en:spreads,en:fats,en:plant-based-spreads,en:spreadable-fats,en:animal-fats,en:milkfat,en:dairy-spread,de:streichfette,en:butters,en:half-salted-butter			Frankreich	frankreich	Pure butter	en:pure-butter	FR 50.256.001 EC	fr-50-256-001-ec		isigny-le-buat-manche-france		Irma.dk,Delhaize	Belgium,China,Denmark,France,Germany,Spain	pasteurisierte Kuhmilch, Salz (2,5%), Milchsäurebakterien.								0		0			0			28	e	2	Fat and sauces	Fats	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded		en:half-salted-butter	https://static.openfoodfacts.org/images/products/322/802/100/0084/front_de.47.400.jpg	https://static.openfoodfacts.org/images/products/322/802/100/0084/front_de.47.200.jpg	https://static.openfoodfacts.org/images/products/322/802/100/0084/front_de.47.400.jpg	https://static.openfoodfacts.org/images/products/322/802/100/0084/front_de.47.200.jpg	https://static.openfoodfacts.org/images/products/322/802/100/0084/ingredients_de.48.400.jpg	https://static.openfoodfacts.org/images/products/322/802/100/0084/ingredients_de.48.200.jpg	https://static.openfoodfacts.org/images/products/322/802/100/0084/nutrition.16.400.jpg	https://static.openfoodfacts.org/images/products/322/802/100/0084/nutrition.16.200.jpg	2980		2980		80	55.5																																			0.5	0.5												0.7				2.5	1																																												28								
5760466826778	https://de.openfoodfacts.org/produkt/5760466826778	openfoodfacts-contributors	1442501896	1592825479	Butter Kærgården ungesalzen	Mischstreichfett 75%	250g	Kunststoff,Karton, Packung(en)	kunststoff,karton,packung-en	Kærgården,Arla	kaergarden,arla	Brotaufstriche,Fette,Streichfette (Milch- und Nichtmilcherzeugnisse),Mischfette,Mischstreichfett	en:spreads,en:fats,en:spreadable-fats,de:mischfette,de:mischstreichfett					en:green-dot	en:green-dot	DE RP 247 EC	de-rp-247-ec				REWE	Deutschland,Vereinigte Staaten von Amerika	Butter (65%), Rapsöl (19%), Wasser, Milchsäurekultur	en:milk	en:milk						0		0			0			15	d	2	Fat and sauces	Fats	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded		de:mischstreichfett	https://static.openfoodfacts.org/images/products/576/046/682/6778/front_de.7.400.jpg	https://static.openfoodfacts.org/images/products/576/046/682/6778/front_de.7.200.jpg	https://static.openfoodfacts.org/images/products/576/046/682/6778/front_de.7.400.jpg	https://static.openfoodfacts.org/images/products/576/046/682/6778/front_de.7.200.jpg	https://static.openfoodfacts.org/images/products/576/046/682/6778/ingredients_de.8.400.jpg	https://static.openfoodfacts.org/images/products/576/046/682/6778/ingredients_de.8.200.jpg	https://static.openfoodfacts.org/images/products/576/046/682/6778/nutrition_de.9.400.jpg	https://static.openfoodfacts.org/images/products/576/046/682/6778/nutrition_de.9.200.jpg	2683	652	2683		72	35																																			0.6	0.6												0.5				0.01	0.004																																												15								
5000159483063	https://de.openfoodfacts.org/produkt/5000159483063	foodorigins	1456742329	1588243901	Barres Glacées Bounty	"Crème glacée à la noix de coco, enrobage cacao (36%) avec des éclats à la noix de coco (1.8%) / Glace à la noix de coco, enrobage cacao (36%) avec des éclats à la noix de coco (1.8%)"	234,6 g - 6x 39,1g - 6x 50.2ml	carton  surgelé  Plastique	carton-surgele-plastique	BountyMars,Mars Chocolat	bountymars,mars-chocolat	Ice cream bars	en:desserts,en:frozen-foods,en:frozen-desserts,en:ice-creams-and-sorbets,en:ice-creams,en:ice-cream-bars			France	france	Natural flavors,Pure cocoa butter	en:natural-flavors,en:pure-cocoa-butter					Paris  France  Deutschland	Franprix  Magasins U  Rewe  Woolworths	Australia,France,Germany,Switzerland	"LAIT écrémé (20%), CREME légère (LAIT), sucre, sirop de glucose, LAIT écrémé en poudre, eau, NOIX de coco (5.5%) (NOIX de coco séchée, LAIT de NOIX de coco en poudre), pâte de cacao, matière grasse de NOIX de coco, beurre de cacao, matière grasse de palme, LAIT écrémé concentré sucré, BEURRE concentré (LAIT), éclats à la NOIX de coco (1.8%) (sucre, flocons de NOIX de coco (25%), amidon de BLE, farine de BLE, protéine de LAIT, poudre à lever (E500)), LACTOSE, petit - LAIT en poudre, émulsifiants (lécithine de SOJA, E471), arôme naturel, stabilisants (E407, E410, E412), caséinate de sodium (LAIT), extrait naturel de vanille."	en:gluten,en:milk,en:nuts,en:soybeans	en:gluten,en:milk,en:nuts,en:soybeans	en:Nuts  en:peanuts	en:nuts-en-peanuts	39,1g	39.1		5	en:e407,en:e410,en:e412,en:e471,en:e500	1		huile-de-palme	1		e471-mono-et-diglycerides-d-acides-gras-alimentaires	18	d	4	Milk and dairy products	Ice cream	en:to-be-checked, en:complete, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-validated, en:photos-uploaded		en:ice-cream-bars	https://static.openfoodfacts.org/images/products/500/015/948/3063/front_de.62.400.jpg	https://static.openfoodfacts.org/images/products/500/015/948/3063/front_de.62.200.jpg	https://static.openfoodfacts.org/images/products/500/015/948/3063/front_de.62.400.jpg	https://static.openfoodfacts.org/images/products/500/015/948/3063/front_de.62.200.jpg	https://static.openfoodfacts.org/images/products/500/015/948/3063/ingredients_de.56.400.jpg	https://static.openfoodfacts.org/images/products/500/015/948/3063/ingredients_de.56.200.jpg	https://static.openfoodfacts.org/images/products/500/015/948/3063/nutrition_de.63.400.jpg	https://static.openfoodfacts.org/images/products/500/015/948/3063/nutrition_de.63.200.jpg	1119		1119		16	11.5																																			27.5	23.1												3.1				0.11	0.044																																												18								
